1684,14203,9701,4479,36171,30406,4625,1842,123,2371,1
981,2096,3198,2914,3908,1740,1953,349,7822,311,1
18204,298138,518472,135929,24907,95845,102610,100039,104658,48175,0
1241,1667,3064,1785,166,3427,1860,1014,1014,2299,0
4912,13024,10245,18023,36817,116592,72316,8932,10897,20361,1
92527,3023,353541,112023,103962,88293,7414,50537,130045,104904,1
4059,128570,15665,3242,46397,61685,2314,72775,21517,41402,0
1999,5586,9706,17986,2647,687,3744,33388,20588,6015,0
1992,78820,3778,8539,319,9360,15672,26046,70214,100421,0
117939,3125,6307,24018,522,22941,260,6676,7593,2878,0
5035,42303,30644,18179,10084,48042,27245,27701,95164,335715,1
9072,67626,17173,13882,37407,126238,25380,30342,5862,327,1
23721,13021,34998,4051,14442,3970,60180,14961,90525,34727,0
11760,7467,452119,55516,11114,30977,71160,52557,13971,8878,1
16320,17386,376,1833,56176,7646,33695,24254,1136,11085,0
37135,21198,21048,4961,24103,2867,6454,18583,50629,12556,1
15603,14809,5745,10831,571,11313,1944,4095,4709,727,0
23499,6286,20114,28511,12321,30448,64146,2337,18751,48545,0
125106,5737,66570,13149,49099,298,298,35408,14753,41748,1
4320,116402,92849,3821,25697,24575,6086,481212,5503,59050,0
4603,10495,5162,40171,39777,1448,19102,3070,17187,8976,1
7416,54862,50898,2918,5122,44282,23886,10734,2550,1732,0
17712,14240,191,1471,6266,179463,5459,168591,6104,231559,0
12506,127985,31147,276623,33603,114696,23282,2325,70908,225646,0
2794,89414,329622,86510,9430,4706,29584,52084,11073,79970,1
10492,11100,34474,9313,10501,19125,28738,4697,33426,161926,0
5607,51288,43231,204,24397,49352,10400,16703,16045,1289,0
5684,5870,3096,13129,3049,3415,10422,8612,4868,1340,1
63408,47120,7669,31533,3825,44249,24267,13599,15870,21591,1
626708,197756,11371,191494,66570,148612,14910,51019,407169,6569,0
26534,26883,308,174728,29764,32549,63086,12049,65242,49026,0
28092,7461,5009,3948,1515,62237,16139,55365,21515,15061,1
2360,7477,50603,4880,34348,18158,7960,1390,10886,15530,1
1958,10095,5089,54049,44403,18176,8616,315083,79989,38925,0
7952,4102,21317,16944,1504,1696,9507,6045,729,6694,0
